author,work,role,content
watts,Blindsight,narration,"""It's still growing. It's not finished."" ""That's supposed to reassure me?"" ""All I'm saying is, we don't know,"" James said. ""We could have years yet. Centuries."" ""We have fifteen days,"" Sarasti announced. ""Oh shit,"" someone said. Cunningham, probably. Maybe Sascha. For some reason everyone was looking at me. Fifteen days. Who knows what had gone into that number? None of us asked aloud. Maybe Sarasti, in another fit of inept psychology, had made it up on the spur of the moment. Or maybe he'd derived it before we'd even reached orbit, held it back against the possibility--only now expired-- that he might yet send us back into the labyrinth. I'd been half blind for half the mission; I didn't know. But one way or another, we had our Graduation Day."
watts,Blindsight,narration,"""Rorschach to Theseus. Please respond."" Theseus growled to stern, fishtailing. On tactical, another just- plotted piece of debris swept by a discreet six thousand meters to port. ""Rorschach to Theseus. If you are unable to respond, please-- holy shit!"" The cartoon flickered and died. I'd seen what had happened in that last instant, though: Jack passing near one of those great phantom hoops; a tongue of energy flicking out, quick as a frog's; a dead feed. ""I see what you're up to now, you cocksuckers. Do you think we're fucking blind down here?"" Sascha clenched her teeth. ""We--"" ""No,"" Sarasti said. ""But it fi--"" Sarasti hissed, from somewhere in the back of his throat. I had never heard a mammal make a noise quite like that before. Sascha fell immediately silent. Bates negotiated with her controls. ""I've still got--just a sec--"" ""You pull that thing back right fucking now, you hear us? Right fucking now."" ""Got it."" Bates gritted as the feed came back up. ""Just had to reacquire the laser."" The probe had been kicked wildly off-course --as if someone fording a river had been caught in sudden undertow and thrown over a waterfall--but it was still talking, and still mobile. Barely. Bates struggled to stay the course. Jack staggered and wobbled uncontrollably though the tightly-wound folds of Rorschach's magnetosphere. The artefact loomed huge in its eye. The feed strobed. ""Maintain approach,"" Sarasti said calmly. ""Love to,"" Bates gritted. ""Trying."" Theseus skidded again, corkscrewing. I could have sworn I heard the bearings in the drum grind for a moment. Another rock Peter Watts 100 Blindsight"
watts,Blindsight,narration,"""How many of these are you making, anyway?"" ""We're breaking and entering, Siri. Not wise to leave our own house unguarded."" I inspected her surfaces as she inspected theirs. Doubt and resentment simmered just beneath. ""You're in a tough spot,"" I remarked. ""We all are."" ""But you're responsible for defending us, against something we don't know anything about. We're only guessing that--"" ""Sarasti doesn't guess,"" Bates said. ""The man's in charge for a reason. Doesn't make much sense to question his orders, given we're all about a hundred IQ points short of understanding the answer anyway."" ""And yet he's also got that whole predatory side nobody talks about,"" I remarked. ""It must be difficult for him, all that intellect coexisting with so much instinctive aggression. Making sure the right part wins."" She wondered in that instant whether Sarasti might be listening in. She decided in the next that it didn't matter: why should he care what the cattle thought, as long as they did what they were told? All she said was, ""I thought you jargonauts weren't supposed to have opinions."" ""That wasn't mine."" Bates paused. Returned to her inspection. ""You do know what I do,"" I said. ""Uh huh."" The first of the current pair passed muster and hummed off up the spine. She turned to the second. ""You simplify things. So the folks back home can understand what the specialists are up to."" ""That's part of it."" ""I don't need a translator, Siri. I'm just a consultant, assuming things go well. A bodyguard if they don't."" ""You're an officer and a military expert. I'd say that makes you more than qualified when it comes to assessing Rorschach's threat Peter Watts 109 Blindsight"
watts,Blindsight,narration,"However, while virtually identical to modern humans in terms of gross physical morphology, vampiris was radically divergent from sapiens on the biochemical, neurological, and soft-tissue levels. The GI tract was foreshortened and secreted a distinct range of enzymes more suited to a carnivorous diet. Since cannibalism carries with it a high risk of prionic infection2, the vampire immune system displayed great resistance to prion diseases3, as well as to a variety of helminth and anasakid parasites. Vampiris hearing and vision were superior to that of sapiens; vampire retinas were quadrochromatic (containing four types of cones, compared to only three among baseline humans); the fourth cone type, common to nocturnal predators ranging from cats to snakes, was tuned to near- infrared. Vampire grey matter was ""underconnected"" compared to Human norms due to a relative lack of interstitial white matter; this forced isolated cortical modules to become self-contained and hypereffective, leading to omnisavantic pattern-matching and analytical skills4."
watts,Blindsight,narration,"""Honeycomb,"" Bates repeated. ""Perfect hexagonal tubes in a packed array. Bees are hardwired to lay them down, but how does an insect know enough geometry to lay down a precise hexagon? It doesn't. It's programmed to chew up wax and spit it out while turning on its axis, and that generates a circle. Put a bunch of bees on the same surface, chewing side-by-side, and the circles abut against each other-- deform each other into hexagons, which just happen to be more efficient for close packing anyway."" Bates pounced: ""But the bees are programmed. Genetically."" ""You misunderstand. Scramblers are the honeycomb."" ""Rorschach is the bees,"" James murmured. Cunningham nodded. ""Rorschach is the bees. And I don't think Rorschach's magnetic fields are counterintrusion mechanisms at all. I think they're part of the life-support system. I think they mediate and regulate a good chunk of scrambler metabolism. What we've got back in the hold is a couple of creatures dragged out of their element and holding their breath. And they can't hold it forever."" ""How long?"" James asked. ""How should I know? If I'm right, I'm not even dealing with complete organisms here."" ""Guess,"" Bates said. Peter Watts 225 Blindsight"
doctorow,Down and Out in the Magic Kingdom,narration,"If I needed proof that Lil and I were meant for each other, the designs she and Suneep had come up with were more than enough. She'd been thinking just the way I had -- souvenirs that stressed the human scale of the Mansion. There were miniature animatronics of the Hitchhiking Ghosts in a black-light box, their skeletal robotics visible through their layers of plastic clothing; action figures that communicated by IR, so that placing one in proximity with another would unlock its Mansion-inspired behaviors -- the raven cawed, Mme. Leota's head incanted, the singing busts sang. She'd worked up some formal attire based on the castmember costume, cut in this year's stylish lines."
doctorow,Down and Out in the Magic Kingdom,narration,"Dan dogged my heels as I swung towards the commissary, and then hugged the wall, in the camera's blindspot. Back in my early days in the Park, when I was courting Lil, she showed me the A-Vac, the old pneumatic waste-disposal system, decommissioned in the 20s. The kids who grew up in the Park had been notorious explorers of the tubes, which still whiffed faintly of the garbage bags they'd once whisked at 60 mph to the dump on the property's outskirts, but for a brave, limber kid, the tubes were a subterranean wonderland to explore when the hypermediated experiences of the Park lost their luster."
doctorow,Down and Out in the Magic Kingdom,narration,"Debra started unreeling a long spiel about critical paths, milestones, requirements meetings, and I tuned her out. Ad-hocs were crazy for that process stuff. I stared at my feet, at the floorboards, and realized that they weren't floorboards at all, but faux-finish painted over a copper mesh -- a Faraday cage. That's why the HERF gun hadn't done anything; that's why they'd been so casual about working with the shielding off their computers. With my eye, I followed the copper shielding around the entire stage and up the walls, where it disappeared into the ceiling. Once again, I was struck by the evolvedness of Debra's ad-hocs, how their trial by fire in China had armored them against the kind of bush-league jiggery-pokery that the fuzzy bunnies in Florida -- myself included -- came up with."
doctorow,Down and Out in the Magic Kingdom,narration,"I'd gone straight from the uplink through the utilidors -- three quick cuts of security cam footage, one at the uplink, one in the corridor, and one at the exit in the underpass between Liberty Square and Adventureland. I seemed bemused and a little sad as I emerged from the door, and began to weave my way through the crowd, using a kind of sinuous, darting shuffle that I'd developed when I was doing field-work on my crowd-control thesis. I cut rapidly through the lunchtime crowd toward the long roof of the Tiki Room, thatched with strips of shimmering aluminum cut and painted to look like long grass."
doctorow,Down and Out in the Magic Kingdom,narration,"""No,"" I said. ""No, you don't. You're an outsider. You can make the case that you were working on your own -- gone rogue."" I knew it wasn't fair. Dan was here to build up his Whuffie, and if he was implicated in my dirty scheme, he'd have to start over again. I knew it wasn't fair, but I didn't care. I knew that we were fighting for our own survival. ""It's good versus evil, Dan. You don't want to be a post-person. You want to stay human. The rides are human. We each mediate them through our own experience. We're physically inside of them, and they talk to us through our senses. What Debra's people are building -- it's hive-mind shit. Directly implanting thoughts! Jesus! It's not an experience, it's brainwashing! You gotta know that."" I was pleading, arguing with myself as much as with him."
